Country or Area,Year,Area,Sex,Age,Record Type,Reliability,Source Year,Value,Value Footnotes
Germany,2008,Total,Both Sexes,55 - 59,Estimate - de jure,"Final figure, complete",2009,5271033,
Germany,2008,Total,Both Sexes,56,Estimate - de jure,"Final figure, complete",2009,1078735,
Germany,2008,Total,Both Sexes,57,Estimate - de jure,"Final figure, complete",2009,1084372,
Germany,2008,Total,Both Sexes,58,Estimate - de jure,"Final figure, complete",2009,1046225,
Germany,2008,Total,Both Sexes,59,Estimate - de jure,"Final figure, complete",2009,960408,
Germany,2008,Total,Both Sexes,60,Estimate - de jure,"Final figure, complete",2009,903118,
Germany,2008,Total,Both Sexes,60 - 64,Estimate - de jure,"Final figure, complete",2009,4250928,
Germany,2008,Total,Both Sexes,61,Estimate - de jure,"Final figure, complete",2009,789258,
Germany,2008,Total,Both Sexes,62,Estimate - de jure,"Final figure, complete",2009,697389,
Germany,2008,Total,Both Sexes,63,Estimate - de jure,"Final figure, complete",2009,924066,
Germany,2008,Total,Both Sexes,64,Estimate - de jure,"Final figure, complete",2009,937097,
Germany,2008,Total,Both Sexes,65,Estimate - de jure,"Final figure, complete",2009,909706,
Germany,2008,Total,Both Sexes,65 - 69,Estimate - de jure,"Final figure, complete",2009,5324024,
Germany,2008,Total,Both Sexes,66,Estimate - de jure,"Final figure, complete",2009,1097459,
Germany,2008,Total,Both Sexes,67,Estimate - de jure,"Final figure, complete",2009,1151644,
Germany,2008,Total,Both Sexes,68,Estimate - de jure,"Final figure, complete",2009,1123665,
Germany,2008,Total,Both Sexes,69,Estimate - de jure,"Final figure, complete",2009,1041550,
Germany,2008,Total,Both Sexes,70,Estimate - de jure,"Final figure, complete",2009,963729,
Germany,2008,Total,Both Sexes,70 - 74,Estimate - de jure,"Final figure, complete",2009,4218662,
Germany,2008,Total,Both Sexes,71,Estimate - de jure,"Final figure, complete",2009,926983,
Germany,2008,Total,Both Sexes,72,Estimate - de jure,"Final figure, complete",2009,881776,
Germany,2008,Total,Both Sexes,73,Estimate - de jure,"Final figure, complete",2009,807265,
Germany,2008,Total,Both Sexes,74,Estimate - de jure,"Final figure, complete",2009,638909,
Germany,2008,Total,Both Sexes,75,Estimate - de jure,"Final figure, complete",2009,623106,
Germany,2008,Total,Both Sexes,75 - 79,Estimate - de jure,"Final figure, complete",2009,3048922,
Germany,2008,Total,Both Sexes,76,Estimate - de jure,"Final figure, complete",2009,620758,
Germany,2008,Total,Both Sexes,77,Estimate - de jure,"Final figure, complete",2009,635869,
Germany,2008,Total,Both Sexes,78,Estimate - de jure,"Final figure, complete",2009,597444,
Germany,2008,Total,Both Sexes,79,Estimate - de jure,"Final figure, complete",2009,571745,
Germany,2008,Total,Both Sexes,80,Estimate - de jure,"Final figure, complete",2009,513056,
Germany,2008,Total,Both Sexes,80 - 84,Estimate - de jure,"Final figure, complete",2009,2192107,
Germany,2008,Total,Both Sexes,81,Estimate - de jure,"Final figure, complete",2009,480678,
Germany,2008,Total,Both Sexes,82,Estimate - de jure,"Final figure, complete",2009,449941,
Germany,2008,Total,Both Sexes,83,Estimate - de jure,"Final figure, complete",2009,393333,
Germany,2008,Total,Both Sexes,84,Estimate - de jure,"Final figure, complete",2009,355099,
Germany,2008,Total,Both Sexes,85,Estimate - de jure,"Final figure, complete",2009,336659,
Germany,2008,Total,Both Sexes,85 - 89,Estimate - de jure,"Final figure, complete",2009,1202162,
Germany,2008,Total,Both Sexes,86,Estimate - de jure,"Final figure, complete",2009,315233,
Germany,2008,Total,Both Sexes,87,Estimate - de jure,"Final figure, complete",2009,271184,
Germany,2008,Total,Both Sexes,88,Estimate - de jure,"Final figure, complete",2009,179125,
Germany,2008,Total,Both Sexes,89,Estimate - de jure,"Final figure, complete",2009,99961,
Germany,2008,Total,Both Sexes,90,Estimate - de jure,"Final figure, complete",2009,80521,
Germany,2008,Total,Both Sexes,90 - 94,Estimate - de jure,"Final figure, complete",2009,356229,
Germany,2008,Total,Both Sexes,91,Estimate - de jure,"Final figure, complete",2009,72489,
Germany,2008,Total,Both Sexes,92,Estimate - de jure,"Final figure, complete",2009,73364,
Germany,2008,Total,Both Sexes,93,Estimate - de jure,"Final figure, complete",2009,73539,
Germany,2008,Total,Both Sexes,94,Estimate - de jure,"Final figure, complete",2009,56316,
Germany,2008,Total,Both Sexes,95 +,Estimate - de jure,"Final figure, complete",2009,176638,
Germany,2008,Total,Both Sexes,Unknown,Estimate - de jure,"Final figure, complete",2009,0,
